8,6,7,6,3,4,3,3,3,2,2,2,2,2,1,2,1,1
6,7,6,6,3,4,4,2,3,2,1,1,2,2,2,1,0,0
7,6,8,6,4,4,4,3,4,3,2,2,3,3,2,2,1,1
6,6,6,7,4,4,4,2,3,2,1,1,2,2,2,1,0,0
3,3,4,4,4,2,2,0,2,1,0,0,1,1,1,0,0,0
4,4,4,4,2,4,3,2,2,1,1,1,1,1,1,1,0,0
3,4,4,4,2,3,4,2,3,2,1,1,2,2,2,1,0,0
3,2,3,2,0,2,2,3,2,2,2,2,2,2,1,2,1,1
3,3,4,3,2,2,3,2,4,3,2,2,3,2,2,2,1,1
2,2,3,2,1,1,2,2,3,4,3,3,4,3,3,2,1,1
2,1,2,1,0,1,1,2,2,3,4,4,4,3,3,2,1,1
2,1,2,1,0,1,1,2,2,3,4,6,6,5,3,2,1,1
2,2,3,2,1,1,2,2,3,4,4,6,7,6,4,2,1,1
2,2,3,2,1,1,2,2,2,3,3,5,6,8,4,1,2,2
1,2,2,2,1,1,2,1,2,3,3,3,4,4,5,1,1,1
2,1,2,1,0,1,1,2,2,2,2,2,2,1,1,2,1,1
1,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,2,2
1,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,2,2
